"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","cor.train_mean","AUC.valid_mean","ll.valid_mean","nagel.valid_mean","plr.valid_mean","cor.valid_mean"
201,0.6,0,0.5,0,0.002,1,0.2,"relu",0.4,0.2,0.686420139475523,-29.1374275821155,0.0995336660687393,1.35860483368187,0.23915409095212,0.575429464128262,-8.09860896024561,-0.00535256117618322,1.12555182380995,0.0969927213354843
663,0.2,1,0.5,0.5,0.002,2,0.2,"relu",0.5,1,0.640374115819577,-30.0629007936786,0.0554920447677917,1.20278745631989,0.178469534719673,0.575353897361354,-8.08083825358883,0.00364824007361055,1.08818552695411,0.094036143694854
13,0.2,0.2,0.75,0.75,0.002,1,0.1,"relu",0.2,0.8,0.693289347709698,-28.9561234164503,0.105699734764401,1.38811102668392,0.24805046724622,0.575349730037816,-8.0759707452275,-0.00373446914627903,1.15040536655231,0.0981619489789453
344,0.8,1,1,0.5,0.002,2,0.1,"relu",0.4,0.2,0.695961952838673,-28.8466771736441,0.110303405593544,1.40427965112191,0.249538764391119,0.575344931589293,-8.08044768052458,2.13502625233695e-05,1.18288664189854,0.103801854563425
76,1,0.8,1,0.75,0.002,2,0.2,"relu",0.1,0.7,0.637332283679473,-30.1695060903048,0.0508647750653749,1.19183372802411,0.175967052009418,0.57531642267788,-8.05220613236067,0.007858544163145,1.09528961506563,0.0966478638298126
101,0.4,0.8,0.25,0,0.002,2,0.1,"relu",0.4,0.7,0.677121463797725,-29.3062736170233,0.0888931414652575,1.31511479588626,0.229604257038024,0.575167349612587,-8.08282928120741,-0.00115044673941966,1.14361963439638,0.101200135064927
811,0.4,0.6,0,1,0.002,2,0.2,"relu",0.7,0.6,0.679917577283425,-29.1853530225802,0.0944233042020001,1.45817886034671,0.227911476080706,0.575004057376082,-8.32228811062409,-0.0642618039435287,1.18584858579323,0.100735500933294
869,0.8,0.2,0.75,0.75,0.002,1,0.2,"relu",0.6,0.3,0.692540811966119,-29.1411843222194,0.0990999313474915,1.34091806335951,0.247533159170373,0.57497241117094,-8.09264777467816,-0.00359402765161407,1.12098150994804,0.0970497213658481
784,1,0.8,0.75,1,0.002,2,0.1,"relu",0.6,0.7,0.703114648833053,-28.8669245351509,0.10881094182323,1.38608465729341,0.261510694659552,0.574850915064593,-8.13286513381387,-0.014284369051187,1.13900863870158,0.0975799305244079
769,0.8,1,0,0.75,0.002,1,0.2,"relu",0,0.6,0.690216030417038,-29.6578646213181,0.10376651958395,1.4312312384549,0.245809460925582,0.574828897103521,-8.42695848616263,-0.0398644796564599,1.18125033519665,0.0973105946458414
224,0.4,0.8,0,0.75,0.002,2,0.2,"relu",1,0.2,0.688996837191428,-28.9779928331937,0.104941542973365,1.48080737274961,0.242917768333103,0.574757625849044,-8.33707408585194,-0.0647930244012907,1.16983777479378,0.0922755251365301
363,1,1,0.5,0.5,0.002,1,0.1,"relu",0.9,0.9,0.693577832797793,-28.7575893221396,0.11126161408863,1.44983398671156,0.2524477757697,0.574733838669584,-8.16777218196733,-0.0176768615640834,1.15291581683403,0.0948036261808803
685,0.8,0,0.5,0.25,0.002,2,0.2,"relu",1,0.8,0.665879565607673,-29.6580426987466,0.0735587304626372,1.23951731247261,0.213477448313017,0.574709711328462,-8.06798905937233,0.00395312399214475,1.10154167025482,0.0951600547394182
606,0.2,0.4,0,0.25,0.002,1,0.2,"relu",0.9,0.7,0.68748831771291,-28.9986720434525,0.104645373177035,1.52092035987469,0.239839843638913,0.574670710308937,-8.36823740248303,-0.0659494954128813,1.20046818117213,0.0949426515028507
668,0.6,0.8,1,0.75,0.002,2,0.1,"relu",0.8,0.4,0.688154227360635,-29.0375873542442,0.0996145268472404,1.35151975106242,0.242382107908064,0.574636053226522,-8.04027381357547,0.000678606899518041,1.16986287223267,0.100122553764987
870,0,0,0.25,0.25,0.002,2,0.2,"relu",0.5,0.1,0.678102242822117,-29.4144581725081,0.0835414178538135,1.28045535876922,0.230215846484163,0.574487847281907,-8.06045067152189,0.00403269657685422,1.09666996969736,0.0984415667592257
98,1,0,0.25,0,0.002,1,0.1,"relu",0.8,0,0.708248421942016,-28.3544659205564,0.129089464704531,1.51705494839765,0.270930898749011,0.574471507096941,-8.1189346789839,-0.0130780494783707,1.14698702311033,0.0951154300942471
721,0.2,0.6,0.25,0.5,0.002,1,0.1,"relu",0.8,0.1,0.709187649377523,-28.5778077426131,0.122539472539306,1.45715050242255,0.273288187342725,0.574307395906544,-8.11707293999362,-0.00955275728180335,1.16222614333422,0.103246384573852
88,1,0.2,0.75,0,0.002,1,0.2,"relu",0.8,0.6,0.66544392000777,-29.8183058714573,0.0741226054990454,1.26141881551577,0.213092476610579,0.574280631517963,-8.1740582749448,-0.00359361145326525,1.0984981916566,0.0961437167821953
341,0.2,0.6,0,0.5,0.002,2,0.2,"relu",0.3,0.1,0.681807638627846,-29.0911334976986,0.0980420352060346,1.47685343701356,0.232553341298863,0.574277194372886,-8.41078524666885,-0.079829951446604,1.18962954486938,0.0894819232926047
50,1,0.8,0,0,0.002,1,0.1,"relu",0.3,0.1,0.701596241808312,-28.6387575929157,0.119923471467412,1.5977924997097,0.258413721018708,0.574124974284443,-8.46714484064322,-0.0945218423873456,1.20741952383709,0.0896089483038965
996,1,0.4,0.25,0.25,0.002,2,0.1,"relu",1,0.4,0.68644537744063,-28.9713296648331,0.101935943194144,1.3798436182451,0.241800033286336,0.574094400275164,-8.11200698381539,-0.00958932053806832,1.13194231022858,0.100502436673353
733,1,1,1,0.25,0.002,1,0.2,"relu",0.3,0.3,0.677983344246952,-29.3269184575889,0.0900819233237608,1.31695182459135,0.228649645192324,0.574092134619437,-8.09843856671529,-0.00134812767627093,1.15490132276137,0.0990084023041437
599,0.6,0.2,1,0.75,0.002,1,0.1,"relu",0.5,0.5,0.703745601330985,-28.5279849716977,0.121545969577904,1.48861058456527,0.261412114568296,0.573869590360026,-8.23412642495693,-0.0427890036629514,1.16153343971311,0.0987666968994065
199,0.2,0,0,0.5,0.002,2,0.2,"relu",0.7,0.6,0.684724080423576,-29.0752302842232,0.0999399085804997,1.45370835344598,0.235062198486752,0.573790427837898,-8.27976485039314,-0.0497724583303506,1.17914774788537,0.094199263240342
985,0.8,0.4,0,1,0.002,2,0.2,"relu",0.6,0.4,0.68770794582902,-29.0911458058494,0.102637445889773,1.46199477063402,0.237079224343037,0.573751408343515,-8.25679700127047,-0.0456823712720703,1.16456962593317,0.0933899516890987
