"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","cor.train_mean","AUC.valid_mean","ll.valid_mean","nagel.valid_mean","plr.valid_mean","cor.valid_mean"
656,0.4,0.8,0.5,1,0.002,1,0.2,"relu",0.7,0.4,0.683400890957371,-36.8499545761358,0.0481158625581412,1.11702912863106,0.221722952311354,0.567356831842686,-9.68931133619083,0.0141244216469896,1.04361871212408,0.0845220852532821
403,1,0.8,0.25,1,0.002,1,0.1,"relu",0.9,0.6,0.684497060467358,-36.2248264952175,0.0691270794998683,1.20114301161137,0.225144328431694,0.567340089753812,-9.68502877426173,0.0143484945213165,1.07296948843941,0.0848271053701441
37,1,0.6,0,0.75,0.002,2,0.1,"relu",0.6,0.9,0.686845732808322,-35.0970019710821,0.111866177454745,1.63846826782016,0.231878371209648,0.567334779974196,-10.1715675037206,-0.0719471662354993,1.22541570373495,0.0846888792974848
896,0.6,0.2,0.5,1,0.002,1,0.2,"relu",0.2,0.8,0.683616579049481,-36.78051611151,0.0488860269581395,1.12244734909996,0.221996575260061,0.567327301416196,-9.70809326836544,0.0139905232623024,1.0448142425716,0.084993080651684
219,0.4,0.2,0,0.5,0.002,2,0.1,"relu",0.9,0,0.686816064981925,-35.0976721505793,0.111834423719648,1.63723665746559,0.231871394775362,0.567317555107273,-10.1690728302053,-0.071528079997573,1.22509098144653,0.0846688565887353
696,0.6,0.4,0.75,1,0.001,1,0.1,"relu",0.8,0.5,0.682983579773021,-37.2393362787472,0.0368741812738324,1.08224712259888,0.219797819572056,0.567315290122952,-9.68661214259916,0.0121599418299046,1.03132623639734,0.0841018678769171
417,0.8,0,0,0,0.002,2,0.1,"relu",0.5,0.6,0.686840899660102,-35.0974062858105,0.111846568238384,1.63775278585359,0.231874982049321,0.567310362456551,-10.170211078443,-0.0717195702660378,1.22519619338441,0.0846700628980991
453,0.8,0.2,0,0.25,0.002,2,0.1,"relu",0.7,0.4,0.686830076601955,-35.0975841787081,0.111838879511849,1.63746521723372,0.231872898910983,0.567293262661537,-10.1696086279448,-0.0716083200477653,1.22514699691752,0.0846726655811725
500,1,0.6,0,0.25,0.002,2,0.2,"relu",0.6,0.9,0.686841559365406,-35.0969973391953,0.111866175280808,1.63847417969733,0.231877915773516,0.567292712105169,-10.1715089837467,-0.0719467444783717,1.22538659453248,0.0846846154321579
274,0.8,0.6,0,0.25,0.002,2,0.2,"relu",0.2,0.5,0.686869878624616,-35.097145805648,0.111859650545795,1.6382247106176,0.231880272917769,0.567283615122708,-10.1712660089316,-0.0718904598110938,1.22532470326699,0.0846796930664328
