"tr","lambda.env","alpha.env","lambda.sp","alpha.sp","lr","hidden.ind","drop","acti.sp","lambda.bio","alpha.bio","AUC.train_mean","ll.train_mean","nagel.train_mean","plr.train_mean","tjur.train_mean","cor.train_mean","tss.train_mean","AUC.valid_mean","ll.valid_mean","nagel.valid_mean","plr.valid_mean","tjur.valid_mean","cor.valid_mean","tss.valid_mean"
775,0.2,0.2,0.75,0.25,0.002,2,0.1,"relu",0.4,0.4,0.610406671811228,-30.599307633816,0.0300793196342072,1.07848757848805,0.0105400377103493,0.139421229422567,0.729178162722237,0.568019965733137,-8.01810322706625,0.0101290781006858,1.03621832352942,0.00469609853489667,0.08598331987678,0.72233586652925
669,0.2,0.2,0.25,0.75,0.001,1,0.2,"relu",0.3,0.9,0.679587243883141,-30.2592679383481,0.0449696772505353,1.09581240324259,0.0180904152434861,0.227679375387369,0.728025128580793,0.568009368010393,-7.9658021656125,0.0111686209109396,1.03348416044827,0.00748171301846436,0.08031065758182,0.721257073629445
332,0.6,0,0,0.5,0.002,2,0.2,"relu",0,0.3,0.685035220614376,-33.1717583439509,0.0625090432515278,1.51072946584567,0.119847278478076,0.233763935199011,0.685464844622058,0.567903624530473,-9.79269422493224,-0.271649222351739,1.17537431419839,0.0401376813263851,0.0834128044145552,0.661247250125788
12,0.8,0.6,0.25,0.75,0.002,2,0.1,"relu",0.4,0,0.679725832004861,-30.0392998684775,0.0498657095546127,1.11162354946964,0.0190746213110843,0.229357192832188,0.739163791544671,0.567828761498675,-8.00695590328837,0.0120191119372919,1.03980400669564,0.00818735448855612,0.0825916577466247,0.731790178358347
435,0.2,0.2,1,0.25,0.002,2,0.1,"relu",0.5,0.1,0.610643700689279,-30.5575058280904,0.0323244891558207,1.08727703469741,0.0116489367301315,0.138663156492608,0.729086539085873,0.567673345419662,-8.01702353821006,0.0104414290894845,1.04042974170885,0.00520997127217774,0.0837622090509709,0.722029608773408
546,0.4,0.4,0.25,0.75,0.002,2,0.2,"relu",0.7,0.8,0.680571155083917,-30.0392128503868,0.049872163497337,1.11164833536453,0.0190751155674793,0.229776675401067,0.739174030868581,0.56764956389606,-8.00712391153486,0.0120048909990264,1.03976716464294,0.00818303626588952,0.0822671486730913,0.731800132284217
344,0.2,0.6,0,0.75,0.002,1,0.2,"relu",0,0.1,0.688742738409095,-33.2556219066959,0.0679153471472996,1.51290169746264,0.123279033069344,0.23957966030152,0.683147334425334,0.567644064074452,-9.79650348010486,-0.247982531797745,1.17735130260002,0.0416717815511999,0.0854675118693693,0.65879783328595
493,0.4,0.8,1,0.5,0.001,2,0.2,"relu",0.7,0.1,0.578355999492252,-31.2674901162026,0.00306970934797976,1.00689055469687,0.00101572633851876,0.0980447683073649,0.7182068014907,0.567612948524199,-8.08011551391341,0.00145693199696597,1.00383826992818,0.000558928056480942,0.0827310348023621,0.713783498008954
80,1,1,0.25,0,0.001,1,0.2,"relu",0.9,0.2,0.60000720342227,-31.1541929570848,0.00552826835801964,1.00744533227453,0.0022210972397238,0.129256752199413,0.720808163756558,0.567524670989847,-8.06211608099558,0.00285256052108045,1.00430010384412,0.00147360759099853,0.0852146517607099,0.716460640724873
74,0.2,1,0.75,0.25,0.001,1,0.2,"relu",0.7,0.8,0.615699412027835,-29.9888024998052,0.0564430483234905,1.23724321704055,0.0285483000141532,0.148405980431739,0.735598143495472,0.56748241842805,-8.12359932563117,-0.00299515950604873,1.11266341549937,0.0113692113231759,0.0799137013400831,0.72722455445687
72,0.2,1,1,0,0.001,1,0.2,"relu",0.8,0.6,0.615730906242459,-29.9916708164709,0.0563329568648224,1.23780887443183,0.0284918014611303,0.148348063175731,0.735430495228873,0.567225818195107,-8.12343033164971,-0.00288544767746131,1.11096644548918,0.0109754771194706,0.0779107113547139,0.727149362248827
987,1,0.4,0.25,0.75,0.002,1,0.1,"relu",0.6,1,0.678028748708303,-30.1784295858177,0.0444126622438663,1.09814321333715,0.0158159716967266,0.226959937278146,0.744091369516056,0.567187650188499,-8.0209660916078,0.0108518981478238,1.03338202452445,0.00655882502216203,0.0788180958140231,0.737345487443078
483,1,0.4,0,0.5,0.002,2,0.1,"relu",0,0.6,0.686437672516873,-33.07872903956,0.0639349270954023,1.51308756483414,0.119886228372406,0.23460546076479,0.686203913122506,0.567078901712453,-9.77623662616239,-0.276624088403461,1.17364592451259,0.0393963245989198,0.0826319106365058,0.662242333471321
199,1,0.6,0.25,0.75,0.002,2,0.2,"relu",0.1,1,0.674349106942925,-30.4329391034702,0.0382809394054251,1.08320933478502,0.0125914416435295,0.222291923877685,0.751272847657321,0.566939689573403,-8.07593299720721,0.00922237683617609,1.02697338862895,0.00505788874130569,0.0825925647756464,0.745028596739344
348,0.2,1,0.5,0,0.001,1,0.2,"relu",0.5,0.2,0.615605018861966,-29.983269593165,0.0566928312337751,1.239123797882,0.0286433190576332,0.148625446756102,0.735518500076007,0.566925515854489,-8.12318016354131,-0.00295255299653592,1.11374412890848,0.0111869607649903,0.0783774892473329,0.727239246571301
854,0.6,0,0.5,0.75,0.002,1,0.1,"relu",1,0.3,0.651529498052183,-30.78355841379,0.015616583295575,1.02530455046907,0.00566197962244481,0.19491410300838,0.73495688892939,0.566817466284177,-8.05311280036646,0.0055631865118288,1.00994585077302,0.00284844219733416,0.078895972487812,0.729908450764784
142,0.4,0.4,0,0.5,0.002,1,0.2,"relu",0,0.6,0.687789996141188,-33.3402335345387,0.065305287418856,1.5113204980607,0.12308120371127,0.238130097741547,0.68267078144991,0.566740719162741,-9.83168482197141,-0.254648135301526,1.17504450560902,0.0411478307908324,0.0842621638190101,0.658099106887207
726,1,0,0.25,0.75,0.002,1,0.2,"relu",0.8,0.2,0.68079760485875,-30.0325772144464,0.050195596526871,1.11265752484252,0.0192119649703307,0.230072892769445,0.73908533115672,0.566722806797071,-8.00401499424376,0.0120433423352724,1.03987258053431,0.00820268230510951,0.0811489980474719,0.731742027854853
